[43]  Copy from old code forward, StartingX =   47 , Starting Y = 47 , length =  297  
[44]  Download:    0008 [4150] 
[45]  Download:    0011 [4151] 
[46]  Download:    0007 [4152] 
[47]  Download:    0020 [4153] 
[48]  Download:    0082 [4154] 
[49]  Download:    0093 [4155] 
[50]  Download:    000A [4156] 
[58]  Copy from old code forward, StartingX =   351 , Starting Y = 351 , length =  115  
[59]  Download:    0010 [41CA] 
[60]  Download:    0011 [41CB] 
[61]  Download:    0082 [41CC] 
[62]  Download:    0063 [41CD] 
[63]  Download:    0012 [41CE] 
[71]  Copy from old code forward, StartingX =   471 , Starting Y = 471 , length =  27  
[72]  Download:    0004 [41EA] 
[73]  Download:    0011 [41EB] 
[74]  Download:    0003 [41EC] 
[75]  Download:    0020 [41ED] 
[76]  Download:    00C2 [41EE] 
[77]  Download:    009B [41EF] 
[78]  Download:    0037 [41F0] 
[86]  Copy from old code forward, StartingX =   505 , Starting Y = 505 , length =  13  
[87]  Download:    0036 [41FE] 
[88]  Download:    0011 [41FF] 
[89]  Download:    0003 [4200] 
[90]  Download:    0020 [4201] 
[91]  Download:    00C2 [4202] 
[92]  Download:    004B [4203] 
[93]  Download:    0036 [4204] 
[94]  Download:    0011 [4205] 
[95]  Download:    0004 [4206] 
[96]  Download:    003C [4207] 
[97]  Download:    005F [4208] 
[98]  Download:    0042 [4209] 
[99]  Download:    0037 [420A] 
[100]  Download:    0011 [420B] 
[101]  Download:    00CF [420C] 
[102]  Download:    004B [420D] 
[103]  Download:    0004 [420E] 
[104]  Download:    0011 [420F] 
[105]  Download:    00C2 [4210] 
[106]  Download:    004B [4211] 
[107]  Download:    0037 [4212] 
[115]  Copy from old code forward, StartingX =   539 , Starting Y = 539 , length =  45  
[116]  Download:    000C [4240] 
[117]  Download:    0011 [4241] 
[118]  Download:    001F [4242] 
[119]  Download:    0042 [4243] 
[120]  Download:    000E [4244] 
[121]  Download:    0011 [4245] 
[122]  Download:    001E [4246] 
[123]  Download:    0052 [4247] 
[124]  Download:    0008 [4248] 
[125]  Download:    0011 [4249] 
[126]  Download:    001F [424A] 
[127]  Download:    0062 [424B] 
[128]  Download:    000A [424C] 
[136]  Copy from old code forward, StartingX =   597 , Starting Y = 597 , length =  15  
[137]  Download:    000C [425C] 
[138]  Download:    0011 [425D] 
[139]  Download:    001D [425E] 
[140]  Download:    0072 [425F] 
[141]  Download:    000E [4260] 
[149]  Copy from old code forward, StartingX =   617 , Starting Y = 617 , length =  9  
[150]  Download:    000C [426A] 
[151]  Download:    0011 [426B] 
[152]  Download:    001D [426C] 
[153]  Download:    0072 [426D] 
[154]  Download:    000E [426E] 
[155]  Download:    0011 [426F] 
[156]  Download:    000F [4270] 
[157]  Download:    0028 [4271] 
[158]  Download:    0007 [4272] 
[159]  Download:    003C [4273] 
